image,method,mse,psnr_db,ssim,orig_width,orig_height,pipeline,target_width,target_height
complex_image_31.jpg,simple_resize,0.5763768557111413,50.5237382737749,0.9987573644582226,978,524,preprocessing_only,1080,1080
complex_image_31.jpg,padding_resize,1083.555319445095,17.782292723311727,0.9035177247607236,978,524,preprocessing_only,1080,1080
complex_image_32.jpg,simple_resize,0.9096205989684206,48.54220074187108,0.9986969752920437,542,905,preprocessing_only,1080,1080
complex_image_32.jpg,padding_resize,1868.493531222605,15.415887622194175,0.9173202296272911,542,905,preprocessing_only,1080,1080
complex_image_33.jpg,simple_resize,1.6805267201575387,45.876349387814145,0.9978496799103468,523,769,preprocessing_only,1080,1080
complex_image_33.jpg,padding_resize,3126.7348571684315,13.179893056405872,0.849102506563049,523,769,preprocessing_only,1080,1080
complex_image_34.jpg,simple_resize,0.41226540044560095,51.9790347289188,0.9992652407401277,834,752,preprocessing_only,1080,1080
complex_image_34.jpg,padding_resize,413.4611603270575,21.96645641774698,0.9510754035511763,834,752,preprocessing_only,1080,1080
complex_image_35.jpg,simple_resize,0.2121504691776228,54.86436364307923,0.9995298148311147,762,874,preprocessing_only,1080,1080
complex_image_35.jpg,padding_resize,937.8514062315437,18.40946326929972,0.9464668333657107,762,874,preprocessing_only,1080,1080
complex_image_36.jpg,simple_resize,0.6250563265845821,50.17161205567625,0.9988100322019815,677,566,preprocessing_only,1080,1080
complex_image_36.jpg,padding_resize,838.4540670838749,18.896010851701902,0.9112950358286013,677,566,preprocessing_only,1080,1080
complex_image_37.jpg,simple_resize,1.5744193494108005,46.159599423246604,0.9984400098570385,651,849,preprocessing_only,1080,1080
complex_image_37.jpg,padding_resize,1408.4821304181842,16.64329019457376,0.8499730089573784,651,849,preprocessing_only,1080,1080
complex_image_38.jpg,simple_resize,1.7006831595116825,45.82456949602601,0.9975323003185306,868,532,preprocessing_only,1080,1080
complex_image_38.jpg,padding_resize,896.0134877805112,18.607658136783737,0.8754309716380774,868,532,preprocessing_only,1080,1080
complex_image_39.jpg,simple_resize,1.0771373131830697,47.80809290293743,0.9985634403251015,599,838,preprocessing_only,1080,1080
complex_image_39.jpg,padding_resize,1909.2159360004675,15.322253101537049,0.8678383144094753,599,838,preprocessing_only,1080,1080
complex_image_4.jpg,simple_resize,1.0437249398698736,47.94494299784047,0.9985818690939324,909,517,preprocessing_only,1080,1080
complex_image_4.jpg,padding_resize,1401.2902219299945,16.665522693155165,0.8829751747755211,909,517,preprocessing_only,1080,1080
complex_image_40.jpg,simple_resize,1.6345657375469997,45.996779695215324,0.9981767162696428,850,631,preprocessing_only,1080,1080
complex_image_40.jpg,padding_resize,1285.701948976104,17.039400586229704,0.894838615762659,850,631,preprocessing_only,1080,1080
complex_image_41.jpg,simple_resize,0.7540852716008812,49.356599024095274,0.9988671665021395,612,895,preprocessing_only,1080,1080
complex_image_41.jpg,padding_resize,3226.6767207069047,13.043249050537472,0.8853727147800836,612,895,preprocessing_only,1080,1080
complex_image_42.jpg,simple_resize,0.7223509949515597,49.543320855558505,0.9988975507011192,535,983,preprocessing_only,1080,1080
complex_image_42.jpg,padding_resize,739.8302266252143,19.439482899193962,0.9279958727181458,535,983,preprocessing_only,1080,1080
complex_image_43.jpg,simple_resize,3.078537690379796,43.24735885862688,0.9975401995948119,665,624,preprocessing_only,1080,1080
complex_image_43.jpg,padding_resize,801.694208277103,19.090716147563406,0.8734941589962584,665,624,preprocessing_only,1080,1080
complex_image_44.jpg,simple_resize,0.380289103693359,52.3296647898418,0.9991561873916869,987,555,preprocessing_only,1080,1080
complex_image_44.jpg,padding_resize,1596.819245993714,16.098246024691424,0.9255326229400983,987,555,preprocessing_only,1080,1080
complex_image_45.jpg,simple_resize,2.035822891521937,45.043403674489504,0.9975961438135197,822,507,preprocessing_only,1080,1080
complex_image_45.jpg,padding_resize,2204.2311843437615,14.698232185922354,0.8623800454325016,822,507,preprocessing_only,1080,1080
complex_image_46.jpg,simple_resize,0.883879303545034,48.666873960619874,0.9984435445694599,543,716,preprocessing_only,1080,1080
complex_image_46.jpg,padding_resize,2170.9154620684453,14.764374490081591,0.8883423870178943,543,716,preprocessing_only,1080,1080
complex_image_47.jpg,simple_resize,0.6928700963540888,49.72428542886583,0.9986894907076391,531,756,preprocessing_only,1080,1080
complex_image_47.jpg,padding_resize,1536.5364092906466,16.265375052461128,0.8872765433317884,531,756,preprocessing_only,1080,1080
complex_image_48.jpg,simple_resize,1.7449382292381606,45.713003033124465,0.9978396827025474,564,558,preprocessing_only,1080,1080
complex_image_48.jpg,padding_resize,161.14638463102773,26.05859794441262,0.9249748776619077,564,558,preprocessing_only,1080,1080
complex_image_49.jpg,simple_resize,0.2478158218043908,54.18951330405807,0.9990893289046988,965,970,preprocessing_only,1080,1080
complex_image_49.jpg,padding_resize,33.134895571817744,32.92794754664342,0.9818102014222501,965,970,preprocessing_only,1080,1080
complex_image_5.jpg,simple_resize,0.4528015332251476,51.57172472126534,0.9990939916582919,849,683,preprocessing_only,1080,1080
complex_image_5.jpg,padding_resize,815.5767431727161,19.0161552784195,0.9345524058928284,849,683,preprocessing_only,1080,1080
complex_image_50.jpg,simple_resize,0.5423925895868511,50.787666134962265,0.998533615660459,634,964,preprocessing_only,1080,1080
complex_image_50.jpg,padding_resize,1122.8579329031245,17.6275554927184,0.9222345098440523,634,964,preprocessing_only,1080,1080
complex_image_6.jpg,simple_resize,0.8282649785405449,48.949110623583614,0.998603023372652,781,805,preprocessing_only,1080,1080
complex_image_6.jpg,padding_resize,279.9317337490026,23.660282269216353,0.9539747669604176,781,805,preprocessing_only,1080,1080
complex_image_7.jpg,simple_resize,0.9368905604199722,48.41391497601868,0.9986633563638279,910,561,preprocessing_only,1080,1080
complex_image_7.jpg,padding_resize,1107.0039489921842,17.689311907367433,0.9135473379877234,910,561,preprocessing_only,1080,1080
complex_image_8.jpg,simple_resize,0.392651959318626,52.19072591960902,0.9990187669244733,990,777,preprocessing_only,1080,1080
complex_image_8.jpg,padding_resize,871.5970775970776,18.727645954497167,0.9336856888448178,990,777,preprocessing_only,1080,1080
complex_image_9.jpg,simple_resize,0.42712546146507385,51.82524899850375,0.9991050550641849,784,656,preprocessing_only,1080,1080
complex_image_9.jpg,padding_resize,1531.275799916003,16.280269418259078,0.9160698212294826,784,656,preprocessing_only,1080,1080
