Run,Image,SSIM,MSE
40,random_image_6.jpg,0.823826665895304,28.448873177198408
40,random_image_2.jpg,0.7844953825399152,67.27158749427849
40,random_image_3.jpg,0.8528521842059538,42.51008548900623
40,random_image_1.jpg,0.9338219724340472,18.791952583688122
40,random_image_10.jpg,0.8878870790392366,36.564499350385525
40,random_image_8.jpg,0.8355484985204275,14.788502511249488
40,random_image_9.jpg,0.816407941831002,17.718855792850718
41,random_image_4.jpg,0.8222425362468146,16.7507794446686
41,random_image_5.jpg,0.8841847746050576,19.81020066889632
41,random_image_7.jpg,0.8717699181389782,18.833256406695476
41,random_image_6.jpg,0.823826665895304,28.448873177198408
41,random_image_2.jpg,0.7844953825399152,67.27158749427849
41,random_image_3.jpg,0.8528521842059538,42.51008548900623
41,random_image_1.jpg,0.9338219724340472,18.791952583688122
41,random_image_10.jpg,0.8878870790392366,36.564499350385525
41,random_image_8.jpg,0.8355484985204275,14.788502511249488
41,random_image_9.jpg,0.816407941831002,17.718855792850718
42,random_image_4.jpg,0.8222425362468146,16.7507794446686
42,random_image_5.jpg,0.8841847746050576,19.81020066889632
42,random_image_7.jpg,0.8717699181389782,18.833256406695476
42,random_image_6.jpg,0.823826665895304,28.448873177198408
42,random_image_2.jpg,0.7844953825399152,67.27158749427849
42,random_image_3.jpg,0.8528521842059538,42.51008548900623
42,random_image_1.jpg,0.9338219724340472,18.791952583688122
42,random_image_10.jpg,0.8878870790392366,36.564499350385525
42,random_image_8.jpg,0.8355484985204275,14.788502511249488
42,random_image_9.jpg,0.816407941831002,17.718855792850718
43,random_image_4.jpg,0.8222425362468146,16.7507794446686
43,random_image_5.jpg,0.8841847746050576,19.81020066889632
43,random_image_7.jpg,0.8717699181389782,18.833256406695476
43,random_image_6.jpg,0.823826665895304,28.448873177198408
43,random_image_2.jpg,0.7844953825399152,67.27158749427849
43,random_image_3.jpg,0.8528521842059538,42.51008548900623
43,random_image_1.jpg,0.9338219724340472,18.791952583688122
